BN	TN	SN	seqNum	exeType	prepTime	exeTime	iti	hand	cuePress	cueMask	press1	press2	press3	press4	press5	press6	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
2	19	15	4	1	8000	2500	8000	2	135315	******	1	3	5	3	1	5	488.000	1100.000	1588.000	0	0	2	1	3	5	3	1	5	8488.000	8682.000	8874.000	9178.000	9340.000	9502.000	0.000	0.000	194000	194187	18506	195	119	1	0	
2	20	15	2	1	6000	2500	1000	2	333333	******	3	3	3	3	3	3	380.000	1470.000	1850.000	0	0	2	3	3	3	3	3	3	6380.000	6660.000	6908.000	7178.000	7428.000	7702.000	0.000	0.000	212500	212698	9506	213	624	1	0	
2	21	15	6	0	4000	2500	1000	2	513153	******	5	1	3	1	5	3	2328.000	0.000	2328.000	1	1	-1	0	0	0	0	0	0	4954.000	5596.000	6328.000	0.000	0.000	0.000	0.000	0.000	222000	222207	7506	223	129	1	1	
2	22	15	6	0	8000	2500	1000	2	513153	******	5	1	3	1	5	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	229500	229718	11506	230	640	1	0	
2	23	15	1	0	4000	2500	2000	2	111111	******	1	1	1	1	1	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	241000	241228	8506	242	146	1	0	
2	24	15	3	1	4000	2500	2000	2	555555	******	5	5	5	5	5	5	422.000	1456.000	1878.000	0	0	2	5	5	5	5	5	5	4422.000	4674.000	4932.000	5214.000	5472.000	5760.000	0.000	0.000	249500	249737	8506	250	651	1	0	
2	25	15	4	0	8000	2500	2000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	258000	258247	12506	259	157	1	1	
2	26	15	1	1	4000	2500	2000	2	111111	******	1	1	1	1	1	1	504.000	1576.000	2080.000	0	0	2	1	1	1	1	1	1	4504.000	4786.000	5080.000	5380.000	5654.000	5930.000	0.000	0.000	270500	270757	8506	271	665	1	0	
2	27	15	4	0	4000	2500	1000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	279000	279267	7506	280	171	1	1	
2	28	15	4	1	6000	2500	1000	2	135315	******	1	3	5	3	1	5	428.000	1242.000	1670.000	0	0	2	1	3	5	3	1	5	6428.000	6640.000	6862.000	7212.000	7384.000	7576.000	0.000	0.000	286500	286778	9506	287	678	1	0	
2	29	15	2	0	4000	2500	1000	2	333333	******	3	3	3	3	3	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	296000	296288	7506	297	186	1	0	
2	30	15	5	1	8000	2500	4000	2	351531	******	3	5	1	5	3	1	582.000	1250.000	1832.000	0	0	2	3	5	1	5	3	1	8582.000	8832.000	9042.000	9322.000	9516.000	9710.000	0.000	0.000	303500	303797	24506	304	693	1	0	
3	1	15	2	1	8000	2500	2000	2	333333	******	3	3	3	3	3	3	396.000	1612.000	2008.000	0	0	2	3	3	3	3	3	3	8396.000	8686.000	8946.000	9260.000	9568.000	9884.000	0.000	0.000	10000	10000	12506	10	998	1	0	
3	2	15	4	0	4000	2500	2000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	22500	22510	8506	23	502	1	0	
3	3	15	3	1	4000	2500	8000	2	555555	******	5	5	5	5	5	5	482.000	1472.000	1954.000	0	0	2	5	5	5	5	5	5	4482.000	4724.000	5004.000	5258.000	5514.000	5828.000	0.000	0.000	31000	31020	14506	32	8	1	0	
3	4	15	5	1	6000	2500	4000	2	351531	******	3	5	1	5	3	1	424.000	1378.000	1802.000	0	0	2	3	5	1	5	3	1	6424.000	6704.000	6924.000	7246.000	7436.000	7674.000	0.000	0.000	45500	45530	12506	46	514	1	0	
3	5	15	3	0	4000	2500	1000	2	555555	******	5	5	5	5	5	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58000	58040	7506	59	20	1	0	
3	6	15	6	0	6000	2500	1000	2	513153	******	5	1	3	1	5	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	65500	65549	9506	66	527	1	0	
3	7	15	5	0	4000	2500	1000	2	351531	******	3	5	1	5	3	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75000	75062	7506	76	35	1	0	
3	8	15	2	1	6000	2500	2000	2	333333	******	3	3	3	3	3	3	410.000	1570.000	1980.000	0	0	2	3	3	3	3	3	3	6410.000	6704.000	6990.000	7260.000	7558.000	7864.000	0.000	0.000	82500	82572	10506	83	543	1	0	
3	9	15	6	1	4000	2500	1000	2	513153	******	5	1	3	1	5	3	480.000	1350.000	1830.000	0	0	2	5	1	3	1	5	3	4480.000	4792.000	5022.000	5318.000	5514.000	5710.000	0.000	0.000	93000	93082	7506	94	49	1	0	
3	10	15	5	0	8000	2500	1000	2	351531	******	3	5	1	5	3	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	100500	100592	11506	101	557	1	0	
3	11	15	4	1	4000	2500	1000	2	135315	******	1	3	5	3	1	5	670.000	1226.000	1896.000	0	0	2	1	3	5	3	1	5	4670.000	4914.000	5110.000	5426.000	5614.000	5776.000	0.000	0.000	112000	112102	7506	113	63	1	0	
3	12	15	1	0	6000	2500	1000	2	111111	******	1	1	1	1	1	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	119500	119611	9506	120	571	1	0	
3	13	15	3	1	8000	2500	2000	2	555555	******	5	5	5	5	5	5	530.000	1340.000	1870.000	0	0	2	5	5	5	5	5	5	8530.000	8772.000	9024.000	9260.000	9486.000	9758.000	0.000	0.000	129000	129122	12506	130	78	1	0	
3	14	15	1	0	4000	2500	4000	2	111111	******	1	1	1	1	1	1	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	141500	141632	10506	142	584	1	0	
3	15	15	6	1	4000	2500	1000	2	513153	******	5	1	3	1	5	3	394.000	1496.000	1890.000	0	0	2	5	1	3	1	5	3	4394.000	4694.000	5002.000	5310.000	5534.000	5776.000	0.000	0.000	152000	152141	7506	153	89	1	0	
3	16	15	1	1	6000	2500	1000	2	111111	******	1	1	1	1	1	1	598.000	1600.000	2198.000	0	0	2	1	1	1	1	1	1	6598.000	6850.000	7150.000	7444.000	7756.000	8044.000	0.000	0.000	159500	159652	9506	160	598	1	0	
